Asset,Asset Class,Annual Return,Volatility,Sharpe Ratio,VaR 95
BTC-INR,Crypto,0.39933485521050455,0.39247667287289756,0.8645987867931125,-0.03543921260426582
ETH-INR,Crypto,0.26895231751766824,0.5295605245380808,0.39457683840752833,-0.04947875295785775
GOLDBEES.NS,ETF,0.2168500945123877,0.16650777798755473,0.9419986045583476,-0.011296198183977013
HDFCBANK.NS,Equity,0.0037253173332796705,0.1613089226654011,-0.34886280149207516,-0.015638388109387436
ICICIBANK.NS,Equity,0.07846760225745969,0.15171898105457024,0.1217224247691017,-0.01462038927344601
INFY.NS,Equity,0.001846434354292548,0.20510401496025948,-0.28353206862856956,-0.018771442085357814
NIFTYBEES.NS,ETF,0.06285892964825221,0.0953455069532058,0.02998494359734574,-0.00946994962986809
RELIANCE.NS,Equity,0.03696585216990539,0.17005791430340836,-0.13544884355689732,-0.016201913620753048
SILVERBEES.NS,ETF,0.3128899415026796,0.303192912946881,0.8340892240676668,-0.022262657387739557
TCS.NS,Equity,-0.018820941215827145,0.1737560137378231,-0.4536300040513041,-0.017210441364077133
