Date,Asset,Daily Return,Asset Class
2023-04-10,BTC-INR,0.04785278096526446,Crypto
2023-04-11,BTC-INR,0.020701753556066738,Crypto
2023-04-12,BTC-INR,-0.004502696913145976,Crypto
2023-04-13,BTC-INR,0.0051800870668354815,Crypto
2023-04-14,BTC-INR,0.004878727044504982,Crypto
2023-04-15,BTC-INR,-0.0055332594229479115,Crypto
2023-04-16,BTC-INR,-6.881383289014664e-05,Crypto
2023-04-17,BTC-INR,-0.02681213749970146,Crypto
2023-04-18,BTC-INR,0.03364906063500661,Crypto
2023-04-19,BTC-INR,-0.049120718317848366,Crypto
2023-04-20,BTC-INR,-0.022386251641710375,Crypto
2023-04-21,BTC-INR,-0.03548777712552331,Crypto
2023-04-22,BTC-INR,0.01981872319308864,Crypto
2023-04-23,BTC-INR,-0.007956895439277911,Crypto
2023-04-24,BTC-INR,-0.0048556489860369645,Crypto
2023-04-25,BTC-INR,0.03016973778630616,Crypto
2023-04-26,BTC-INR,0.0013145239929173158,Crypto
2023-04-27,BTC-INR,0.03694369715365675,Crypto
2023-04-28,BTC-INR,-0.0047566249581932896,Crypto
2023-04-29,BTC-INR,-0.0031371446178117823,Crypto
2023-04-30,BTC-INR,0.0006965953093893695,Crypto
2023-05-01,BTC-INR,-0.03987065846589677,Crypto
2023-05-02,BTC-INR,0.02101353111730364,Crypto
2023-05-03,BTC-INR,0.011377199809760041,Crypto
2023-05-04,BTC-INR,-0.006244880025689903,Crypto
2023-05-05,BTC-INR,0.023971404930876128,Crypto
2023-05-06,BTC-INR,-0.02132299267805049,Crypto
2023-05-07,BTC-INR,-0.015554627343689398,Crypto
2023-05-08,BTC-INR,-0.026024220617108074,Crypto
2023-05-09,BTC-INR,0.0025754939242184083,Crypto
2023-05-10,BTC-INR,-0.003591034655025638,Crypto
2023-05-11,BTC-INR,-0.020328328681787577,Crypto
2023-05-12,BTC-INR,-0.005368372748803751,Crypto
2023-05-13,BTC-INR,-0.0014581297365831025,Crypto
2023-05-14,BTC-INR,0.005472678225119987,Crypto
2023-05-15,BTC-INR,0.010550033975719408,Crypto
2023-05-16,BTC-INR,-0.005387967643361802,Crypto
2023-05-17,BTC-INR,0.015302258108625955,Crypto
2023-05-18,BTC-INR,-0.017422603402960313,Crypto
2023-05-19,BTC-INR,0.003533016511775511,Crypto
2023-05-20,BTC-INR,0.00891721203512752,Crypto
2023-05-21,BTC-INR,-0.013073941353367036,Crypto
2023-05-22,BTC-INR,0.0026764777885932567,Crypto
2023-05-23,BTC-INR,0.014749680019478628,Crypto
2023-05-24,BTC-INR,-0.03478960215751192,Crypto
2023-05-25,BTC-INR,0.005715241919073577,Crypto
2023-05-26,BTC-INR,0.007015668710987022,Crypto
2023-05-27,BTC-INR,0.005578918464950844,Crypto
2023-05-28,BTC-INR,0.04543562808945856,Crypto
2023-05-29,BTC-INR,-0.012038662476237527,Crypto
2023-05-30,BTC-INR,-0.00030823732331730636,Crypto
2023-05-31,BTC-INR,-0.017628425340619924,Crypto
2023-06-01,BTC-INR,-0.019335658788295462,Crypto
2023-06-02,BTC-INR,0.017568175983573298,Crypto
2023-06-03,BTC-INR,-0.006450553402414516,Crypto
2023-06-04,BTC-INR,0.0017661811881588552,Crypto
2023-06-05,BTC-INR,-0.0489376739324443,Crypto
2023-06-06,BTC-INR,0.05748552055773826,Crypto
2023-06-07,BTC-INR,-0.03160431013973286,Crypto
2023-06-08,BTC-INR,0.004576501343628081,Crypto
2023-06-09,BTC-INR,-0.0018229012140517087,Crypto
2023-06-10,BTC-INR,-0.02376149597854793,Crypto
2023-06-11,BTC-INR,0.0036902057490335594,Crypto
2023-06-12,BTC-INR,-0.002755257608988093,Crypto
2023-06-13,BTC-INR,5.6382710365010524e-05,Crypto
2023-06-14,BTC-INR,-0.03352806346858361,Crypto
2023-06-15,BTC-INR,0.016338825128588086,Crypto
2023-06-16,BTC-INR,0.02928900250138966,Crypto
2023-06-17,BTC-INR,0.006958945871284428,Crypto
2023-06-18,BTC-INR,-0.006480141355595714,Crypto
2023-06-19,BTC-INR,0.020406569270913222,Crypto
2023-06-20,BTC-INR,0.055088772556551424,Crypto
2023-06-21,BTC-INR,0.05935662909138184,Crypto
2023-06-22,BTC-INR,-0.004100302409368428,Crypto
2023-06-23,BTC-INR,0.026662070139146676,Crypto
2023-06-24,BTC-INR,-0.004445125491742807,Crypto
2023-06-25,BTC-INR,-0.0022458121726832703,Crypto
2023-06-26,BTC-INR,-0.0065996358635305175,Crypto
2023-06-27,BTC-INR,0.013676699327827002,Crypto
2023-06-28,BTC-INR,-0.019276956896802644,Crypto
2023-06-29,BTC-INR,0.012539218931899798,Crypto
2023-06-30,BTC-INR,0.0012989119174042774,Crypto
2023-07-01,BTC-INR,0.0037020376744356653,Crypto
2023-07-02,BTC-INR,0.001006936262776259,Crypto
2023-07-03,BTC-INR,0.01568176343984229,Crypto
2023-07-04,BTC-INR,-0.01147288415641634,Crypto
2023-07-05,BTC-INR,-0.003879971287499284,Crypto
2023-07-06,BTC-INR,-0.015368439537152057,Crypto
2023-07-07,BTC-INR,0.0131416968837903,Crypto
2023-07-08,BTC-INR,-0.0017595072901135378,Crypto
2023-07-09,BTC-INR,-0.004418503915543326,Crypto
2023-07-10,BTC-INR,0.006963776567000091,Crypto
2023-07-11,BTC-INR,0.005259024905068577,Crypto
2023-07-12,BTC-INR,-0.012283551134663506,Crypto
2023-07-13,BTC-INR,0.03604719166271253,Crypto
2023-07-14,BTC-INR,-0.035074468045964924,Crypto
2023-07-15,BTC-INR,-0.0014741411203893495,Crypto
2023-07-16,BTC-INR,-0.0020172619904187394,Crypto
2023-07-17,BTC-INR,-0.0036813875850640887,Crypto
2023-07-18,BTC-INR,-0.009348345612573028,Crypto
2023-07-19,BTC-INR,0.0017546453109835713,Crypto
2023-07-20,BTC-INR,-0.0038217040526805635,Crypto
2023-07-21,BTC-INR,0.0029421404600897816,Crypto
2023-07-22,BTC-INR,-0.004566465109134277,Crypto
2023-07-23,BTC-INR,0.0105043871191568,Crypto
2023-07-24,BTC-INR,-0.03241021477438277,Crypto
2023-07-25,BTC-INR,0.003408639262032276,Crypto
2023-07-26,BTC-INR,0.004660402557914001,Crypto
2023-07-27,BTC-INR,-6.690503837536443e-05,Crypto
2023-07-28,BTC-INR,0.002391911263021962,Crypto
2023-07-29,BTC-INR,0.001284934713148278,Crypto
2023-07-30,BTC-INR,-0.0029424375369939693,Crypto
2023-07-31,BTC-INR,-0.0016737035027133418,Crypto
2023-08-01,BTC-INR,0.015979825728706043,Crypto
2023-08-02,BTC-INR,-0.012497196624054685,Crypto
2023-08-03,BTC-INR,0.0015335769918880526,Crypto
2023-08-04,BTC-INR,-0.004883062043483988,Crypto
2023-08-05,BTC-INR,-0.0010994286631900163,Crypto
2023-08-06,BTC-INR,0.0002192739740847216,Crypto
2023-08-07,BTC-INR,0.006028191868259647,Crypto
2023-08-08,BTC-INR,0.020709220680062312,Crypto
2023-08-09,BTC-INR,-0.0066851286754978645,Crypto
2023-08-10,BTC-INR,-0.005259711657826682,Crypto
2023-08-11,BTC-INR,0.0008146014331651408,Crypto
2023-08-12,BTC-INR,0.0006208074227902483,Crypto
2023-08-13,BTC-INR,-0.005242035370215725,Crypto
2023-08-14,BTC-INR,0.008945588256800363,Crypto
2023-08-15,BTC-INR,-0.009067564702590736,Crypto
2023-08-16,BTC-INR,-0.015629039857420035,Crypto
2023-08-17,BTC-INR,-0.07252715192647141,Crypto
2023-08-18,BTC-INR,-0.022376940367197062,Crypto
2023-08-19,BTC-INR,0.0017906909001603744,Crypto
2023-08-20,BTC-INR,0.0037056203406138355,Crypto
2023-08-21,BTC-INR,-0.003144105465094138,Crypto
2023-08-22,BTC-INR,-0.0040642014410655625,Crypto
